Цикл;Том;Код раздела;Уникальный код раздела;Название раздела;Глава;Код дглавы;Уникальный код главы;Название главы;Номер параграфа;Название параграфа;Пункты (с-по)
БДК;Том 10;Раздел III;БДК / Раздел III; Краткое описание основных принципов энергоинформационной структуризации многомерной творческой динамики «переменной эфирной составляющей» ЛЛУУ-ВВУ-Форм;Глава 6. СФУУРММ-Формы;Глава 6;БДК / Раздел III / Глава 6;СФУУРММ-Формы;10.3.6.3;Существенные отличия в СФУУРММ-Формах образуют различные «Континуумы» ;10815-10824
БДК;Том 10;Раздел III;БДК / Раздел III; Краткое описание основных принципов энергоинформационной структуризации многомерной творческой динамики «переменной эфирной составляющей» ЛЛУУ-ВВУ-Форм;Глава 7. ПРООФФ-РРУ и роль ИИ;Глава 7;БДК / Раздел III / Глава 7;ПРООФФ-РРУ и роль ИИ;10.3.7.1;Многообразие Форм проявления ПРООФФ-РРУ – от катаклизмов до космической экспансии;10825-10832
БДК;Том 10;Раздел III;БДК / Раздел III; Краткое описание основных принципов энергоинформационной структуризации многомерной творческой динамики «переменной эфирной составляющей» ЛЛУУ-ВВУ-Форм;Глава 7. ПРООФФ-РРУ и роль ИИ;Глава 7;БДК / Раздел III / Глава 7;ПРООФФ-РРУ и роль ИИ;10.3.7.2;Роль Ииссиидиологии в ускоренном развитии человечества. Наши Выборы определяют «сценарии» нашего «будущего»;10833-10858
БДК;Том 10;Раздел III;БДК / Раздел III; Краткое описание основных принципов энергоинформационной структуризации многомерной творческой динамики «переменной эфирной составляющей» ЛЛУУ-ВВУ-Форм;Глава 7. ПРООФФ-РРУ и роль ИИ;Глава 7;БДК / Раздел III / Глава 7;ПРООФФ-РРУ и роль ИИ;10.3.7.3;Закон Вечного Существования Формы;10859-10865
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.1;Зависимость продолжительности Жизни от качественности ментально-чувственных и психических процессов в Самосознании. Влияние Знания и степени осознанности на Направление перефокусировок;10866-10876
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.2;Временные периоды (эпохи, цивилизации), Направления и «сценарии» развития человечества ;10877-10888
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.3;Сознательный контроль «личности» над фактором Времени.;10889-10891
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.4;«Индивидуальные ротационные Циклы». Пример «след зайца на снегу»;10892-10910
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.5;Дифференциация УФС. Пример деления группы исследователей на части. Каждое мгновение мы занимаем новую Конфигурацию Самосознания и становимся новой «личностью»;10911-10924
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.6;Пример «точки» в скррууллерртной системе. Вектора Выборов и Луч Векторов Выборов;10925-10936
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.7;Влияние жизненных ценностей (несинтезированных Уровней Самосознания) на Выборы;10937-10962
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.8;Структура и особенности Луча Векторов Выборов. Общий показатель «скррууллерртности». Аналогия с пазлами;10963-10973
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.9;Понятие «Сценария развития» и его отличия от «ротационного Цикла». Немного об Интуиции;10974-10988
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 1. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;Глава 1;БДК / Раздел IV / Глава 1;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 1;10.4.1.10;Приоритетное Направление и наиболее вероятный Вектор Выбора в «скррууллерртной системе». Примеры с таксистом, бильярдным шаром и алкогольной зависимостью. Аналогия с регулярным аттрактором;10989-11018
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.1;Ещё раз об «индивидуальных ротационных Циклах» и «сценариях»;11019-11029
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.2;«Импульсно-мотивационные модели»;11030-11037
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.3;Условная «конечность» «сценариев развития» и бесконечность «ротационных Циклов»;11038-11042
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.4;Максимальные сроки существования, «запас биологической прочности». Главный Принцип «индивидуального» Бессмертия;11043-11052
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.5;Абсолютная условность чисел, понятий, границ и диапазонов в ИИССИИДИОЛОГИИ. Бесконечность всего. Искажение информации при проецировании в наши уровни Реальности;11053-11079
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.6;Частотная дифференциация Энерго-Плазмы. Ассоциативное сравнение Аспектов Чистых Качеств и психических личностных качеств;11080-11095
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.7;Об ограничениях системы восприятия ОРИСА;11096-11101
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.8;Продолжение о «ротационных циклах». «Индивидуальные ротационные Циклы» Прото-Форм. Взаимосвязь с временными потоками. Условность понятия Времени в более качественных Континуумах. Ирккуллигренная дифференциация на отдельные «индивидуальные сценарии». «Ротационный Цикл» как поквантовая траектория Выборов;11102-11127
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.9;Динамика ФТА Коллективного Разума «человечества» зависит от усреднённой качественности ежемгновенных выборов общей массы «людей». Коллективный ВЛОООМООТ;11128-11133
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 2. Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;Глава 2;БДК / Раздел IV / Глава 2;Сценарии развития и ротационные Циклы. Скррууллерртная система. Часть 2;10.4.2.10;Два организующих принципа «индивидуальных ротационных Циклов» ;11134-11137
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.1;Энтропия и хаос. Странные аттракторы и СБОАЛЛГСС-Сущности ;11138-11148
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.2;Взаимосвязь Пространства и Времени. Уменьшение инертности динамики Энерго-Плазмы - доквантовые типы взаимодействий. Возрастание эффекта «квантовой неопределённости». Уровни флакглаассных и вуолдсммиисных типов Реальностей;11149-11154
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.3;Условное! «деление» ПВК на многопиксельные (многомерные) Формо-системы Миров. всё одновременно уже есть в одном-единственном Мгновении Вечности – мы только выбираем. Пример: «Энерго-Плазма» как «Операционная Система» и «первичный Эволюционный Импульс» НАД-Вселенных ;11155-11171
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.4;"«Индивидуальные ротационные Циклы» как Потоки многоуровневого Синтеза Аспектов Чистых и Совмещённых Космических Качеств. Принцип непересекаемости «ротационных Циклов». Каждая «личность» проявляется только в своём собственном «ротационном Цикле»; каждый «сценарий» состоит из множества «индивидуальных ротационных Циклов» каждого из людей, животных, явлений природы, предметов и пр.";11172-11177
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.5;«Точки сингуляции» разнокачественных «ротационных Циклов». Скррууллерртная система. Связь с Временными Потоками;11178-11186
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.6;Продолжение о взаимосвязи Времени и Пространства. Немного о принципах проявления плотноматериальных объектов;11187-11203
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.7;Высокочастотные «формо-частицы» – таблица. Связь с антиматерией ;11204-11206
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.8;Феномен Времени и динамика «Фокуса Пристального Внимания». Сравнение Самосознания с «субатомной частицей» ;11207-11226
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.9;О качественности «фокусируемых» нами НУУ-ВВУ и её связь с плотностью «Временных Потоков». Мы непрерывно выбираем самих себя;11227-11236
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.10;ОДНОВРЕМЕННОСТЬ «прошлого», «настоящего» и «будущего» ;11237-11240
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.11;Состояние «Фокуса Пристального Внимания» моделирует «геометрию» Пространства-Времени. В одной и той же «многомерной точке» Пространства-Времени потенциально представлено всё множество Стерео-Типов каждой из наших Стерео-Форм. Смещение УФС – нефизическое явление. Кратко об эффекте «расширения» Вселенной;11241-11248
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.12;Взаимосвязь фокусируемых нами НУУ-ВВУ-Форм и общих «сценариев развития». «История развития» ПВК. Качественность Выборов – это степень синтезированности соответствующих Уровней АСТРО- и МЕНТО-Плазмы. Соответствие психических состояний и активности «кармических Каналов» ;11249-11256
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.13;Соответствие текущей психической Конфигурации Самосознания и частотных характеристик окружающего Пространства-Времени. Частотная Конфигурация. Меняя психические состояния, мы меняем «окружение». Способности помогают глубже понять многомерность Мироздания. Пространство – это многомерный и универсальный механизм перефокусировок;11257-11281
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.14;Принципы выбора Направления «перефокусировок». Смена Направления «ротационного Цикла» происходит, когда вы осознанно выбираете Конфигурацию Самосознания, Формы выражения которой изначально не предусмотрены для той сллоогрентной части «ротационного Цикла», в которой вы в данный момент сфокусированы ;11282-11296
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.15;«Ротационный Цикл» каждой «личности» – это сумма микроскопических «обрывков сценариев индивидуального развития» каких-то конкретных Стерео-Типов одной и той же Стерео-Формы. «Индивидуальные Миры». Субъективность понятия Мир ;11297-11301
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 3. Пространственно-временные структуры и ротационные Циклы;Глава 3;БДК / Раздел IV / Глава 3;Пространственно-временные структуры и ротационные Циклы;10.4.3.16;"Формо-Система Миров как вся совокупная одновременная динамика «индивидуальных» Миров, формируемых в одно условное мгновение в одном и том же узком диапазоне мерностей в структурах Самосознания абсолютно всех Форм Коллективных Разумов. Отличия терминов «Формо-система Миров» и «Вселенная»; субъективность «индивидуального мгновения»";11302-11314
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.1;"Протоформные типы Реальностей; Объективная Реальность; Субъективная Реальность; взаимосвязь понятий ";11315-11329
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.2;Условность «человеческой истории». Связь «Дуплекс-Сфера» – ОДС – НУУ-ВВУ-Форма – Формо-система Миров – тип субъективной Реальности. Тип реальности, как совокупность СФУУРММ-Форм людей, объединённых общими мировоззренческими позициями. «Границы» типа реальности;11330-11344
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.3;Примеры различных типов ирккуллигренных Реальностей;11345-11352
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.4;Предупреждение о недопустимости построения примитивных толкований и ассоциаций. Степень доступности для нас других типов реальностей. Возможность неосознанной перефокусировки на примере учёного-генетика;11353-11364
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.5;Понятие «пространственно-временного Континуума». Связь с типами Реальностей. Привязка «Континуума» к конкретному Временному Потоку. Понятие «энергоинформационного Конверсума». Понятие «Космического Универсума». Отсутствие иерархичности в структуре Мироздания;11365-11383
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.6;Понятия «ноовременного Континуума» и «ноовременного Конверсума». Субъективные «Континуумы» Прото-Форм, «человеческий Континуум». Структурные отличия Континуумов между собой;11384-11394
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.7;Пример-сравнение «пространственно-временного Континуума» со структурой «человеческого» социума. ;11395-11406
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.8;Отличия Реальностей от Континуумов. Структура и поуровневая схема Мироздания;11407-11412
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.9;ФТА Коллективного Разума Человечества участвует только процессах Синтеза, составляющих мизерную часть общевселенской динамики. ПИИССКЛ-Л-УУЛЛУ и СФУУКРСС-ФФР Потоки. Узость наших понятий;11413-11421
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 4. Пространственно-временные структуры и ротационные Циклы;Глава 4;БДК / Раздел IV / Глава 4;Пространственно-временные структуры и ротационные Циклы;10.4.4.10;Предостережение Ориса от возможных упрощений, сравнений, поспешных выводов и использования шаблонов в понимании ИИССИИДИОЛОГИИ. Забудьте дуальность! ;11422-11430
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 5. Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;Глава 5;БДК / Раздел IV / Глава 5;Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;10.4.5.1;Девять основных Уровней Коллективного Разума «Третичной» Энерго-Плазмы;11431-11433
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 5. Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;Глава 5;БДК / Раздел IV / Глава 5;Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;10.4.5.2;Первый уровень: «Личностное» Самосознание – самая субъективная часть нашего многомерного Существования;11434-11450
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 5. Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;Глава 5;БДК / Раздел IV / Глава 5;Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;10.4.5.3;Второй уровень: субъективное «бессознательное» (собственно Сознание);11451-11456
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 5. Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;Глава 5;БДК / Раздел IV / Глава 5;Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;10.4.5.4;Третий уровень: Подсознание;11457-11492
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 5. Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;Глава 5;БДК / Раздел IV / Глава 5;Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;10.4.5.5;Четвёртый уровень: Надсознание;11493-11498
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 5. Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;Глава 5;БДК / Раздел IV / Глава 5;Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;10.4.5.6;Объединение Уровней Творческой Активности Самосознания в «Совокупное Сознание»;11499-11506
БДК;Том 10;Раздел IV;БДК / Раздел IV; Новейшие Представления о динамике энергоинформационных структур Мироздания;Глава 5. Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;Глава 5;БДК / Раздел IV / Глава 5;Основные Уровни Коллективного Разума «Третичной» Энерго-Плазмы;10.4.5.7;ГРЭИЙСЛИИСС. «Фотореверсивное Поле-Сознание», состоящее более чем из 70 типов бозонно-фермионных полей. Механизм информационной ретрансляции между НУУ-ВВУ через структуры «Биомаятника» (ИЛЛГРИИ-ТО-О). «Фоторедуксивный Эфир» как источник интуитивной Информации для детей;11507-11518
